genre,meta_mixed,meta_negative,meta_positive,metascore,movie_title,release_date,user_mixed,user_negative,user_positive,userscore
"Drama,Mystery,Thriller,Crime",0,0,15,95,Anatomy of a Murder,1-Jul-59,0,0,3,tbd
"Comedy,Romance,Family",0,1,16,91,Bringing Up Baby,18-Feb-38,1,0,2,tbd
"Drama,Fantasy",0,0,19,91,After Life,12-May-99,0,2,1,tbd
Drama,1,0,6,91,Gavagai,3-Aug-18,0,1,2,tbd
"Drama,Sport",1,0,17,90,The Hustler,25-Sep-61,0,0,3,tbd
"Comedy,Romance",0,0,7,90,The Circus,1-Jan-29,0,0,3,tbd
"History,Documentary",1,0,20,89,National Gallery,5-Nov-14,1,0,2,tbd
"Crime,Documentary",0,0,9,85,Tales of the Grim Sleeper,26-Dec-14,0,1,2,tbd
Documentary,1,0,11,84,The Waiting Room,28-Sep-12,1,0,2,tbd
Drama,0,0,9,83,Rosie,19-Jul-19,1,1,1,tbd
"Biography,History,Documentary,News",0,0,7,82,Levitated Mass,5-Sep-14,0,1,2,tbd
"Sport,Documentary",1,0,7,80,Nossa Chape,1-Jun-18,0,0,3,tbd
Documentary,0,0,11,80,Fiddler: A Miracle of Miracles,23-Aug-19,0,1,2,tbd
"Animation,Documentary",0,0,10,80,Liyana,10-Oct-18,0,1,2,tbd
"Music,Documentary",1,0,21,80,David Crosby: Remember My Name,19-Jul-19,0,1,2,tbd
"Biography,History,Documentary,News",0,0,7,79,Colliding Dreams,4-Mar-16,0,0,3,tbd
Documentary,1,0,11,79,The Order of Myths,25-Jul-08,0,1,2,tbd
"Thriller,Crime",1,1,11,78,House of Games,14-Oct-87,1,0,2,tbd
Documentary,0,0,11,78,Tickling Giants,15-Mar-17,0,0,3,tbd
Drama,1,0,15,77,Abuse of Weakness,15-Aug-14,2,0,1,tbd
Documentary,0,0,13,77,People's Republic of Desire,30-Nov-18,0,2,1,tbd
Documentary,2,0,7,77,The Decline of Western Civilization Part III,7-Jul-00,0,1,2,tbd
"Adventure,Biography,History,Documentary",2,0,5,77,How to Change the World,9-Sep-15,0,1,2,tbd
Documentary,4,0,15,77,"Monrovia, Indiana",26-Oct-18,0,1,2,tbd
Documentary,1,0,10,76,The Death and Life of Marsha P. Johnson,6-Oct-17,0,0,3,tbd
Drama,1,0,17,76,Outside In,30-Mar-18,1,0,2,tbd
"Drama,Crime,Documentary,News",1,0,18,76,"3 1/2 Minutes, 10 Bullets",19-Jun-15,0,1,2,tbd
Documentary,0,0,8,76,Keep Quiet,10-Feb-17,0,1,2,tbd
"Drama,Comedy",3,1,20,76,Trees Lounge,11-Oct-96,0,0,3,tbd
"Biography,Drama,Music,Documentary",1,0,12,76,Afternoon of a Faun: Tanaquil Le Clercq,5-Feb-14,0,0,3,tbd
"Adventure,Sci-Fi,Animation",0,0,7,76,Promare,17-Sep-19,0,0,3,tbd
"Drama,Romance",0,0,13,75,Heavy,5-Jun-96,0,2,1,tbd
Drama,1,0,8,75,Charlie's Country,5-Jun-15,2,0,1,tbd
"Drama,Thriller,Horror",4,0,11,75,What Ever Happened to Baby Jane?,31-Oct-62,0,0,3,tbd
"Drama,Crime,Western",2,0,19,74,Little Woods,19-Apr-19,1,0,2,tbd
Drama,1,0,10,74,Land and Shade,17-Jun-16,1,0,2,tbd
Documentary,3,0,7,73,The Rape of Recy Taylor,8-Dec-17,1,0,2,tbd
Documentary,3,0,9,73,(T)error,7-Oct-15,0,0,3,tbd
Documentary,0,0,7,73,China Blue,26-Jan-07,0,0,3,tbd
"Drama,Comedy",2,0,12,73,Big Animal,20-Feb-04,0,0,3,tbd
"Drama,Comedy",3,0,8,72,One Week and a Day,28-Apr-17,1,0,2,tbd
"Drama,Fantasy,Musical",2,1,9,72,Saturday Church,12-Jan-18,0,0,3,tbd
"Biography,Drama",3,0,11,72,Violette,13-Jun-14,1,0,2,tbd
Documentary,3,0,10,72,The Kill Team,25-Jul-14,0,0,3,tbd
Documentary,1,0,7,72,Isn't This a Time! A Tribute Concert for Harold Leventhal,9-Dec-05,0,0,3,tbd
"Drama,Comedy",4,0,13,72,The Talent Given Us,17-Jun-05,1,0,2,tbd
"Drama,History,Comedy",2,1,11,72,Men Go to Battle,8-Jul-16,0,1,2,tbd
Documentary,2,2,21,71,The Brink,29-Mar-19,1,0,2,tbd
"Drama,Comedy",1,1,11,71,The Farewell Party,22-May-15,0,0,3,tbd
"Biography,Drama",5,0,13,71,Pasolini,10-May-19,0,1,2,tbd
"Drama,Thriller",2,0,12,71,"Cry, the Beloved Country",15-Dec-95,1,0,2,tbd
"Drama,Fantasy,Comedy",1,0,6,71,Sylvio,13-Oct-17,1,0,2,tbd
Drama,3,0,4,71,11 Flowers,22-Feb-13,0,0,3,tbd
Documentary,1,0,6,71,King Leopold's Ghost,18-Aug-06,0,0,3,tbd
Drama,1,0,13,71,Jerichow,15-May-09,0,0,3,tbd
"Biography,History,War,Documentary",1,0,10,71,"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",23-Sep-11,1,0,2,tbd
